TOPBTC,ETH/CNY,"$23,157,543",BTC/CNY,"$20,603,137",EOS/CNY,"$15,337,683",ETH/BTC,"$7,838,225",LTC/CNY,"$5,928,390",ETP/CNY,"$5,763,918",LTC/BTC,"$4,367,002",BCH/CNY,"$3,118,516",INK/CNY,"$2,593,147",ETH/USDT,"$1,357,725"
RightBTC,LTC/BTC,"$24,490,830",ETH/BTC,"$21,313,684",EOS/BTC,"$14,908,365",ETC/BTC,"$13,371,805",BCH/BTC,"$12,049,920",EOS/ETH,"$3,006,518",ETH/USD,"$447,896",NANO/BTC,"$96,357",ETP/BTC,"$85,563",BTC/USD,"$59,016"
Allcoin,BTC/CKUSD,"$22,740,046",BCH/BTC,"$13,778,020",QTUM/BTC,"$13,170,604",ETH/CKUSD,"$10,269,864",QTUM/CKUSD,"$9,962,643",ETH/BTC,"$7,719,328",AIDOC/ETH,"$220,620",QBT/QTUM,"$51,497",OC/BTC,"$17,623",SHE/ETH,"$13,532"
Coinsuper,BTC/USD,"$51,747,434",ETH/USD,"$8,135,512",BCH/USD,"$6,156,403",LTC/USD,"$5,983,367",ETC/USD,"$3,657,561",UST/ETH,"$463,499",UST/BTC,"$330,350",ETP/ETH,"$238,731",ETP/BTC,"$227,535",TMTG/BTC,"$161,406"
Coinbase Pro,BTC/USD,"$35,410,028",ETH/USD,"$13,216,503",BTC/EUR,"$4,501,218",LTC/USD,"$3,998,075",BCH/USD,"$3,790,269",ETH/EUR,"$1,863,028",BTC/GBP,"$1,725,600",ETH/BTC,"$1,250,358",ETC/USD,"$743,874",BCH/EUR,"$621,536"
Simex,BTC/USD,"$41,622,126",ETH/USD,"$18,088,728",ETH/BTC,"$5,610,403",BKX/USD,"$595,725",LTC/USD,"$436,477",MLC/USD,"$109,388",DIVX/USD,"$105,667",MLC/ETH,"$6,085",DIVX/BTC,"$77"
Cryptonex,BTC/USD,"$19,601,760",BTC/EUR,"$11,196,586",ETH/USD,"$5,667,583",ETH/EUR,"$3,128,605",BTC/CNY,"$2,805,305",BTC/RUB,"$2,387,077",BTC/KRW,"$2,190,297",BTC/JPY,"$1,748,124",BTC/INR,"$1,498,627",CNX/BTC,"$1,313,300"
Bitbank,XRP/JPY,"$51,999,218",BTC/JPY,"$8,567,284",BCC/JPY,"$1,548,121",MONA/JPY,"$297,601",ETH/BTC,"$258,885",BCC/BTC,"$62,856",LTC/BTC,"$25,105",MONA/BTC,"$13,888"
Kraken,BTC/EUR,"$15,317,487",BTC/USD,"$11,500,664",ETH/USD,"$8,519,823",ETH/EUR,"$4,053,691",XRP/EUR,"$3,209,947",XRP/USD,"$2,130,040",BTC/CAD,"$1,190,702",USDT/USD,"$1,118,482",BCH/EUR,"$1,101,279",ETH/BTC,"$939,268"
Gate.io,IHT/USDT,"$5,494,765",OCN/USDT,"$4,748,873",EOS/USDT,"$4,018,725",DOGE/USDT,"$3,993,855",ETH/USDT,"$3,591,453",GTC/USDT,"$2,489,345",BCD/USDT,"$2,035,672",SKM/USDT,"$1,932,347",BTC/USDT,"$1,870,487",XRP/USDT,"$1,350,716"
BitMart,BTC/USDT,"$10,110,960",XRP/ETH,"$7,257,148",ETH/BTC,"$4,602,658",XRP/BTC,"$3,997,280",EOS/USDT,"$3,733,659",NEO/USDT,"$3,695,388",NEO/ETH,"$3,223,324",XLM/BTC,"$3,102,698",ETH/USDT,"$2,381,704",NEO/BTC,"$2,064,111"
DragonEX,BTC/USDT,"$10,943,923",QTUM/USDT,"$5,268,089",INB/USDT,"$4,081,328",ETH/USDT,"$3,721,298",EOS/USDT,"$2,966,659",BCH/USDT,"$2,891,153",LTC/USDT,"$2,546,623",AE/ETH,"$1,292,969",ABT/USDT,"$1,243,725",ADA/USDT,"$1,230,236"
Kryptono,ETH/USDT,"$10,914,291",BTC/USDT,"$7,766,353",ETH/BTC,"$6,640,209",TRX/BTC,"$2,701,525",GTO/USDT,"$2,472,831",XLM/BTC,"$1,452,556",EOS/BTC,"$1,442,889",MEDX/BTC,"$1,231,203",TRX/ETH,"$1,224,138",GTO/BTC,"$1,221,841"
Bitstamp,BTC/USD,"$21,531,901",XRP/USD,"$6,210,051",BTC/EUR,"$5,759,546",ETH/USD,"$3,567,108",XRP/EUR,"$2,230,238",ETH/EUR,"$1,375,494",XRP/BTC,"$1,001,234",BCH/EUR,"$758,630",LTC/USD,"$673,643",LTC/EUR,"$596,940"
Fatbtc,BTC/CNY,"$25,832,527",BCH/CNY,"$3,750,670",ETH/CNY,"$3,386,137",ETH/BTC,"$2,662,759",EOS/CNY,"$934,706",LOOM/ETH,"$848,445",THETA/ETH,"$839,102",HOT/ETH,"$801,877",ZRX/ETH,"$537,326",DOGE/CNY,"$463,791"
Bittrex,SALT/BTC,"$2,918,307",IHT/BTC,"$2,869,494",SC/BTC,"$2,381,695",XRP/BTC,"$2,256,803",OCN/BTC,"$1,901,321",TRX/BTC,"$1,736,148",BTC/USDT,"$1,575,746",ADA/BTC,"$1,263,674",ETH/BTC,"$1,236,597",CRW/BTC,"$1,021,058"
UEX,BTC/USDT,"$16,170,337",BCH/BTC,"$6,726,079",BCH/USDT,"$5,767,558",ETH/BTC,"$4,683,932",ETH/USDT,"$4,333,299",TTC/ETH,"$478,084",MANA/ETH,"$350,812",KNT/ETH,"$207,068",LBA/ETH,"$129,198",FMF/ETH,"$124,276"
Exrates,DASH/BTC,"$5,489,363",BTC/USD,"$5,277,210",BCH/BTC,"$5,094,436",ETH/BTC,"$4,730,837",LTC/BTC,"$2,334,008",ETH/USD,"$1,809,738",XRP/BTC,"$1,561,262",XLM/BTC,"$1,303,130",NEO/BTC,"$1,281,229",XRP/USD,"$983,160"
CoinTiger,BTC/USDT,"$9,207,059",ETH/USDT,"$6,501,737",BTC/BITCNY,"$4,257,319",BCH/BTC,"$3,879,186",ETH/BITCNY,"$3,358,856",LTC/USDT,"$2,000,501",ETH/BTC,"$1,805,672",LTC/BTC,"$1,066,229",EOS/BTC,"$939,331",EOS/ETH,"$921,297"
BTCBOX,BTC/JPY,"$37,973,172"
LATOKEN,ETH/BTC,"$9,741,287",ETH/USDT,"$6,275,087",BTC/USDT,"$5,518,829",LA/BTC,"$4,123,625",LA/ETH,"$2,096,406",ATMI/ETH,"$790,944",PPT/ETH,"$752,995",MCO/ETH,"$536,593",SNT/ETH,"$498,898",LOCI/BTC,"$490,884"
Allbit,GTO/ETH,"$8,340,162",WTC/ETH,"$7,395,847",NPXS/ETH,"$5,107,863",DENT/ETH,"$4,992,873",ELF/ETH,"$4,477,192",LOOM/ETH,"$1,506,174",NEXO/ETH,"$1,327,010",FXT/ETH,"$821,426",ZPR/ETH,"$439,109",KIN/ETH,"$321,338"
Sistemkoin,BTC/TRY,"$5,106,049",ETH/TRY,"$4,418,614",LTC/TRY,"$4,209,337",XRP/TRY,"$4,023,631",BCH/TRY,"$2,986,377",USDT/TRY,"$1,749,422",ZEC/TRY,"$1,671,261",TRX/TRY,"$1,615,375",ETH/BTC,"$1,614,035",TRX/BTC,"$1,188,891"
Bytex,QTUM/USDT,"$33,549,633",ETH/USDT,"$15,057",BTC/USDT,"$11,999",BOT/USDT,"$574",BOE/USDT,"$265",BCH/USDT,"$42",QTUM/BTC,"$36",BOT/BTC,"$2",ETH/BTC,"$2",BOE/BTC,"$0"
YoBit,BCC/BTC,"$8,470,318",DASH/BTC,"$8,082,056",ZEC/BTC,"$5,549,605",ETH/BTC,"$3,611,158",LSK/BTC,"$2,418,753",LTC/BTC,"$1,199,196",NOAH/BTC,"$683,838",FTO/BTC,"$600,608",BTC/USD,"$332,437",FTO/USD,"$261,466"
OOOBTC,BTC/USDT,"$25,486,487",ETH/BTC,"$5,906,831",AE/ETH,"$154,918",ICX/BTC,"$22,238",ETH/USDT,"$11,991",DCR/BTC,"$5,148",AE/BTC,"$1,787",VIA/BTC,"$934",DGB/BTC,"$815",RHOC/BTC,"$558"
bitFlyer,BTC/JPY,"$30,477,023",ETH/BTC,"$336,777",BCH/BTC,"$58,097"
Bitlish,BTC/USD,"$19,324,526",XRP/EUR,"$5,750,079",ETH/USD,"$5,124,621",BTC/EUR,"$422,789",LTC/BTC,"$11,047",ETH/BTC,"$8,999",BTC/RUB,"$1,201",ETH/EUR,"$561",LTC/EUR,"$88",ETH/RUB,"$68"
CoinEgg,XRP/BTC,"$3,274,907",LTC/BTC,"$2,989,184",LTC/ETH,"$2,801,686",XLM/BTC,"$2,607,385",BCH/BTC,"$1,876,957",ETC/BTC,"$1,460,709",ETH/BTC,"$1,434,108",NEO/BTC,"$1,146,231",MAN/BTC,"$938,365",MAN/ETH,"$936,787"
Kucoin,MTC/BTC,"$11,526,627",MTC/ETH,"$1,247,009",CRPT/BTC,"$1,102,934",ETH/BTC,"$782,589",BTC/USDT,"$749,436",AOA/BTC,"$663,364",OCN/BTC,"$474,474",BU/ETH,"$439,781",GO/BTC,"$438,347",ETH/USDT,"$394,665"
B2BX,BTC/USDT,"$9,597,500",ETH/USDT,"$6,816,707",LTC/USDT,"$1,450,081",BCH/USDT,"$1,376,324",B2BX/USDT,"$891,366",XEM/BTC,"$883,673",BCH/ETH,"$802,758",DASH/USDT,"$730,089",BCH/BTC,"$708,636",ETH/BTC,"$560,695"
Gatecoin,BTC/USD,"$24,285,027",BTC/EUR,"$138,511",BTC/HKD,"$24,472",ETH/HKD,"$17,311",XTZ/BTC,"$15,361",ETH/EUR,"$15,118",ETH/USD,"$8,923",XTZ/EUR,"$7,216",BCH/BTC,"$4,664",LTC/BTC,"$4,629"
Exmo,BTC/USD,"$5,562,773",BTC/RUB,"$5,092,490",BTC/EUR,"$1,744,247",ETH/BTC,"$1,009,087",XRP/USD,"$713,637",ETH/USD,"$711,516",DASH/BTC,"$620,758",BTC/UAH,"$450,045",BCH/USD,"$434,314",DASH/USD,"$369,020"
Hotbit,ETH/BTC,"$1,912,756",BU/ETH,"$785,864",NEXO/BTC,"$740,870",NEXO/ETH,"$679,087",GOT/ETH,"$614,030",HOT/BTC,"$594,337",TOMO/ETH,"$583,308",NPXSXEM/ETH,"$571,470",HQX/BTC,"$531,603",LCS/BTC,"$456,542"
Poloniex,XRP/BTC,"$4,474,891",BTC/USDT,"$4,369,937",XRP/USDT,"$1,427,525",ETH/BTC,"$1,349,273",DOGE/BTC,"$1,338,284",ETH/USDT,"$940,479",XMR/BTC,"$873,290",SC/BTC,"$813,909",BCH/USDT,"$709,830",STR/BTC,"$437,335"
